question,main_answer,sub_answer,level,examples,part_of_speech,kanji_string,meaning_string,reading_string,meaning_mnemonic
略す,"To Abbreviate, To Shorten, To Omit",りゃくす,29,"日本の若者はすぐ単語やフレーズを略したがる。 
 Young Japanese people tend to abbreviate words and phrases.  

 略さずにフルネームを書いてください。 
 Please write your full name without abbreviating it. 

 略して話されても部外者の私には何のことか全然分かりません。 
 As an outsider, I have no idea what you are talking about when you speak in abbreviated form. 

 恐れ入りますが、手続きを略すことはできないんです。 
 I apologize, but we cannot skip the procedure.","transitive verb, godan verb",略,"Abbreviation, Abbreviate",りゃく,"Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means abbreviation, so the verb vocab version is to abbreviate or to shorten. In some cases, it can also mean to omit something for the sake of simplicity."
"To Abbreviate, To Shorten, To Omit",りゃくす,略す,29,"日本の若者はすぐ単語やフレーズを略したがる。 
 Young Japanese people tend to abbreviate words and phrases.  

 略さずにフルネームを書いてください。 
 Please write your full name without abbreviating it. 

 略して話されても部外者の私には何のことか全然分かりません。 
 As an outsider, I have no idea what you are talking about when you speak in abbreviated form. 

 恐れ入りますが、手続きを略すことはできないんです。 
 I apologize, but we cannot skip the procedure.","transitive verb, godan verb",略,"Abbreviation, Abbreviate",りゃく,"Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means abbreviation, so the verb vocab version is to abbreviate or to shorten. In some cases, it can also mean to omit something for the sake of simplicity."
省略,"Omitting, Leaving Out, Abbreviation",しょうりゃく,29,"日本語の会話では、必要なとき以外は文法上の主語を省略するのがデフォルトです。 
 In Japanese conversation, it is the default to omit grammatical subjects except when necessary. 

 ここは大切なポイントだから省略しないで全部書くように。 
 This is an important point, so don't omit anything and write everything down. 

 賞味期限の所に「Ma」って書いてあるんだけど、「March」の省略かな、それとも「May」の省略かな？ 
 It says ""Ma"" at the expiry date, but I wonder if this is an abbreviation of ""March"" or ""May"". 

 時間の都合上、今は詳細については省略せざるを得ませんが、また後ほどご説明させて頂きます。 
 I have to omit the details for now due to time constraints, but I’ll explain it to you later.","noun, verbal noun",省|略,"Conserve|Abbreviation, Abbreviate","しょう, せい, はぶ|りゃく","Conserve those letters with abbreviation and now you're omitting all the extra fluff! 

省略 is a relatively formal word used when you are intentionally leaving out something for the sake of brevity or simplicity, like an unneeded explanation or a long-winded greeting. It can also sometimes refer to the abbreviation of a word or phrase."
"Omitting, Leaving Out, Abbreviation",しょうりゃく,省略,29,"日本語の会話では、必要なとき以外は文法上の主語を省略するのがデフォルトです。 
 In Japanese conversation, it is the default to omit grammatical subjects except when necessary. 

 ここは大切なポイントだから省略しないで全部書くように。 
 This is an important point, so don't omit anything and write everything down. 

 賞味期限の所に「Ma」って書いてあるんだけど、「March」の省略かな、それとも「May」の省略かな？ 
 It says ""Ma"" at the expiry date, but I wonder if this is an abbreviation of ""March"" or ""May"". 

 時間の都合上、今は詳細については省略せざるを得ませんが、また後ほどご説明させて頂きます。 
 I have to omit the details for now due to time constraints, but I’ll explain it to you later.","noun, verbal noun",省|略,"Conserve|Abbreviation, Abbreviate","しょう, せい, はぶ|りゃく","Conserve those letters with abbreviation and now you're omitting all the extra fluff! 

省略 is a relatively formal word used when you are intentionally leaving out something for the sake of brevity or simplicity, like an unneeded explanation or a long-winded greeting. It can also sometimes refer to the abbreviation of a word or phrase."
略語,"Abbreviation, Acronym",りゃくご,29,"「高校」は「高等学校」の略語です。 
 ""Kōkō"" is an abbreviation of ""kōtōgakkō (high school)."" 

 竹下さんはクリエイティブな略語を使って話すのが大好きです。 
 Takeshita-san loves to speak using creative abbreviations. 

 最近の若者が使う略語は、難しすぎてよく分かりません。 
 I don't understand the abbreviations that young people use recently. They are too difficult. 

 略語辞典を貸してもらえませんか？ 
 Can I borrow your dictionary of acronyms and abbreviations?",noun,略|語,"Abbreviation, Abbreviate|Language","りゃく|ご, かた",Abbreviation in language is an abbreviation or an acronym.
"Abbreviation, Acronym",りゃくご,略語,29,"「高校」は「高等学校」の略語です。 
 ""Kōkō"" is an abbreviation of ""kōtōgakkō (high school)."" 

 竹下さんはクリエイティブな略語を使って話すのが大好きです。 
 Takeshita-san loves to speak using creative abbreviations. 

 最近の若者が使う略語は、難しすぎてよく分かりません。 
 I don't understand the abbreviations that young people use recently. They are too difficult. 

 略語辞典を貸してもらえませんか？ 
 Can I borrow your dictionary of acronyms and abbreviations?",noun,略|語,"Abbreviation, Abbreviate|Language","りゃく|ご, かた",Abbreviation in language is an abbreviation or an acronym.
略図,"Rough Diagram, Rough Map",りゃくず,29,"あなたの家からうちまでの略図をかいて、メールでお送りします 
 I'll draw a rough map from your house to mine and email it to you. 

 あなたが作った略図をちょっと見せてもらえませんか？ 
 Could you show me the rough diagram you made? 

 略図だけでは不安なので、念のためGPSも使います。 
 I feel uneasy with just the rough map, so I'll use GPS as well, just in case.",noun,略|図,"Abbreviation, Abbreviate|Diagram","りゃく|ず, と, え, はか","An abbreviation version of a diagram doesn't include all the details. It's more like a rough diagram that shows only the essentials.

While 略図 can be used for any simplified diagram, it most commonly refers to a rough map that gives a basic overview of an area."
"Rough Diagram, Rough Map",りゃくず,略図,29,"あなたの家からうちまでの略図をかいて、メールでお送りします 
 I'll draw a rough map from your house to mine and email it to you. 

 あなたが作った略図をちょっと見せてもらえませんか？ 
 Could you show me the rough diagram you made? 

 略図だけでは不安なので、念のためGPSも使います。 
 I feel uneasy with just the rough map, so I'll use GPS as well, just in case.",noun,略|図,"Abbreviation, Abbreviate|Diagram","りゃく|ず, と, え, はか","An abbreviation version of a diagram doesn't include all the details. It's more like a rough diagram that shows only the essentials.

While 略図 can be used for any simplified diagram, it most commonly refers to a rough map that gives a basic overview of an area."
大略,"Broad Outline, Outline, Overview",たいりゃく,29,"大略でいいので、会議の内容を教えてくれませんか？ 
 Just a rough summary is fine, so can you tell me what the meeting was about? 

 まずは事件の大略を説明してくれないか？ 
 Can you explain the outline of the incident first? 

 彼の話の大略は理解できたけど、細かい部分はまだよく分かりません。 
 I understood the gist of his story, but I'm still unclear on the details. 

 この企画の大略は決まったので、次は詳細を詰めていきましょう。 
 The broad outline of this project has been decided, so let's work out the details next.",noun,大|略,"Big, Large|Abbreviation, Abbreviate","たい, だい, おお, ひろ|りゃく","The big abbreviation is where you take everything and abbreviate it down to show the big picture. This abbreviation is the broad outline of something bigger.

大略 is a relatively formal word commonly found in writing. It generally refers to a broader, rougher outline or overview rather than a detailed summary."
"Broad Outline, Outline, Overview",たいりゃく,大略,29,"大略でいいので、会議の内容を教えてくれませんか？ 
 Just a rough summary is fine, so can you tell me what the meeting was about? 

 まずは事件の大略を説明してくれないか？ 
 Can you explain the outline of the incident first? 

 彼の話の大略は理解できたけど、細かい部分はまだよく分かりません。 
 I understood the gist of his story, but I'm still unclear on the details. 

 この企画の大略は決まったので、次は詳細を詰めていきましょう。 
 The broad outline of this project has been decided, so let's work out the details next.",noun,大|略,"Big, Large|Abbreviation, Abbreviate","たい, だい, おお, ひろ|りゃく","The big abbreviation is where you take everything and abbreviate it down to show the big picture. This abbreviation is the broad outline of something bigger.

大略 is a relatively formal word commonly found in writing. It generally refers to a broader, rougher outline or overview rather than a detailed summary."
痛み,"A Pain, Pain",いたみ,29,"特に痛みはありません。 
 There's no pain in particular. 

 子供には人の痛みが分かるような大人に育ってほしいです。 
 I hope that my kid will grow up to become an adult who understands others’ pain. 

 胸にしこりみたいなものと痛みがあるんだけど、乳がん検査した方がいいかな？ 
 I have a hard spot and pain in my breast. Should I have it examined for breast cancer? 

 俺の伯母さん、クソしてる時に胸にするどい痛みが走って、119に電話したんだって。 
 Apparently, my aunt had a sharp pain in her chest while pooping and called 119.",noun,痛,Pain,"つう, いた","痛い is ""painful."" This is the noun version, it is a pain or pain."
"A Pain, Pain",いたみ,痛み,29,"特に痛みはありません。 
 There's no pain in particular. 

 子供には人の痛みが分かるような大人に育ってほしいです。 
 I hope that my kid will grow up to become an adult who understands others’ pain. 

 胸にしこりみたいなものと痛みがあるんだけど、乳がん検査した方がいいかな？ 
 I have a hard spot and pain in my breast. Should I have it examined for breast cancer? 

 俺の伯母さん、クソしてる時に胸にするどい痛みが走って、119に電話したんだって。 
 Apparently, my aunt had a sharp pain in her chest while pooping and called 119.",noun,痛,Pain,"つう, いた","痛い is ""painful."" This is the noun version, it is a pain or pain."
痛み止め,Painkiller,いたみどめ,29,"頭痛がひどいので、痛み止めを飲みました。 
 I had a bad headache, so I took a painkiller. 

 痛み止めが効いてきて、少し楽になりました。 
 The painkiller is starting to take effect, and I feel a bit better. 

 薬局で痛み止めを買ってきてもらえませんか？ 
 Could you pick up some painkillers for me from the pharmacy? 

 彼は痛み止めを飲んで、また畑を耕し始めた。 
 He took a painkiller and kept plowing the field.",noun,痛|止,Pain|Stop,"つう, いた|し, と, や","痛み is ""pain."" 止める is ""to stop."" What stops pain if you use it? How about a painkiller."
Painkiller,いたみどめ,痛み止め,29,"頭痛がひどいので、痛み止めを飲みました。 
 I had a bad headache, so I took a painkiller. 

 痛み止めが効いてきて、少し楽になりました。 
 The painkiller is starting to take effect, and I feel a bit better. 

 薬局で痛み止めを買ってきてもらえませんか？ 
 Could you pick up some painkillers for me from the pharmacy? 

 彼は痛み止めを飲んで、また畑を耕し始めた。 
 He took a painkiller and kept plowing the field.",noun,痛|止,Pain|Stop,"つう, いた|し, と, や","痛み is ""pain."" 止める is ""to stop."" What stops pain if you use it? How about a painkiller."
眠る,"To Sleep, To Fall Asleep",ねむる,29,"最近ストレスでよく眠れないんです。 
 These days, I can't sleep well due to stress. 

 彼女は電気をつけながら眠るのが好きです。 
 She likes to sleep with the lights on. 

 もちろん、眠ろうと努力はするけど、飛行機の中ってなかなか眠れないじゃないですか？ 
 Of course, I try to sleep, but it's pretty hard to fall asleep on a plane, don't you think? 

 「ぐっすり眠れた？」「ああ。爆睡したよ。」 
 ""Did you sleep well?"" ""Yeah, I crashed.""","intransitive verb, godan verb",眠,Sleep,"みん, ねむ","眠い is ""sleepy."" The verb version of this is to sleep, or to fall asleep. <i>yawn</i>

While 寝る can mean lying down or going to bed (not just sleeping), 眠る only refers to falling asleep or being in a state of sleep."
"To Sleep, To Fall Asleep",ねむる,眠る,29,"最近ストレスでよく眠れないんです。 
 These days, I can't sleep well due to stress. 

 彼女は電気をつけながら眠るのが好きです。 
 She likes to sleep with the lights on. 

 もちろん、眠ろうと努力はするけど、飛行機の中ってなかなか眠れないじゃないですか？ 
 Of course, I try to sleep, but it's pretty hard to fall asleep on a plane, don't you think? 

 「ぐっすり眠れた？」「ああ。爆睡したよ。」 
 ""Did you sleep well?"" ""Yeah, I crashed.""","intransitive verb, godan verb",眠,Sleep,"みん, ねむ","眠い is ""sleepy."" The verb version of this is to sleep, or to fall asleep. <i>yawn</i>

While 寝る can mean lying down or going to bed (not just sleeping), 眠る only refers to falling asleep or being in a state of sleep."
眠り薬,"Sleeping Potion, Sleep Remedy",ねむりぐすり,29,"童話には、眠り薬を使って人を眠らせる話がよく出てきます。 
 Sleeping potions are often featured in fairy tales to make people fall asleep. 

 大変！眠り薬が入ったビンを無くしてしまったわ！ 
 Oh no! I lost the bottle with the sleeping pills! 

 男はニヤリと笑って、ふところから眠り薬を取り出しました。 
 The man grinned and pulled out the sleeping drugs from his pocket.",noun,眠|薬,"Sleep|Medicine, Drug, Drugs","みん, ねむ|やく, くすり","Some kind of sleeping medicine? That's a sleeping potion!

眠り薬 is often found in storytelling contexts to refer to some kind of sleep-inducing concoction. But it can also be used as a less medical and more colloquial term for actual sleeping medication."
"Sleeping Potion, Sleep Remedy",ねむりぐすり,眠り薬,29,"童話には、眠り薬を使って人を眠らせる話がよく出てきます。 
 Sleeping potions are often featured in fairy tales to make people fall asleep. 

 大変！眠り薬が入ったビンを無くしてしまったわ！ 
 Oh no! I lost the bottle with the sleeping pills! 

 男はニヤリと笑って、ふところから眠り薬を取り出しました。 
 The man grinned and pulled out the sleeping drugs from his pocket.",noun,眠|薬,"Sleep|Medicine, Drug, Drugs","みん, ねむ|やく, くすり","Some kind of sleeping medicine? That's a sleeping potion!

眠り薬 is often found in storytelling contexts to refer to some kind of sleep-inducing concoction. But it can also be used as a less medical and more colloquial term for actual sleeping medication."
睡眠薬,"Sleeping Pills, Sleeping Medication",すいみんやく,29,"睡眠薬が無いと眠れないんです。 
 I can't sleep without sleeping pills. 

 昨夜、眠れなかったので、睡眠薬を飲みました。 
 I couldn't sleep last night, so I took a sleeping pill. 

 睡眠薬は決められた量を守って飲まないと危険ですよ。 
 Sleeping pills can be dangerous if you don't stick to the prescribed amount. 

 さっき飲んだ睡眠薬のせいで、手足が思うように動かないんだけど。 
 I'm so uncoordinated right now because of the sleeping pill I took a little bit ago.",noun,睡|眠|薬,"Drowsy|Sleep|Medicine, Drug, Drugs","すい|みん, ねむ|やく, くすり","Drowsy sleep medicine sounds a little goofy, but it's exactly what you'd expect it to be: sleeping pills or sleeping medication."
"Sleeping Pills, Sleeping Medication",すいみんやく,睡眠薬,29,"睡眠薬が無いと眠れないんです。 
 I can't sleep without sleeping pills. 

 昨夜、眠れなかったので、睡眠薬を飲みました。 
 I couldn't sleep last night, so I took a sleeping pill. 

 睡眠薬は決められた量を守って飲まないと危険ですよ。 
 Sleeping pills can be dangerous if you don't stick to the prescribed amount. 

 さっき飲んだ睡眠薬のせいで、手足が思うように動かないんだけど。 
 I'm so uncoordinated right now because of the sleeping pill I took a little bit ago.",noun,睡|眠|薬,"Drowsy|Sleep|Medicine, Drug, Drugs","すい|みん, ねむ|やく, くすり","Drowsy sleep medicine sounds a little goofy, but it's exactly what you'd expect it to be: sleeping pills or sleeping medication."
積もる,"To Accumulate, To Get Piled Up",つもる,29,"雪はふるんですが、あまり積もることはないです。 
 It snows, but it doesn’t usually accumulate much. 

 年末に積もりに積もったホコリを全部そうじするつもりです。 
 I plan to clean up all the dust that piled up throughout the year at the end of the year. 

 「ちりも積もれば山となる」って言うし、毎日コツコツ頑張るよ！ 
 They say ""little by little, dust becomes a mountain,"" so I'll keep working hard every day! 

 長年積もりに積もった不満が、一気にあふれ出しちゃったんです。 
 The frustration that had built up over the years suddenly overflowed all at once.","intransitive verb, godan verb",積,Accumulate,"せき, つ","Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means accumulate and the verb version is to accumulate.

積もる is used to describe when something continuously collects or piles up over time, like snow on the ground or dust in a room. It can also be used in a more emotional way, like when feelings or thoughts quietly build up inside someone."
"To Accumulate, To Get Piled Up",つもる,積もる,29,"雪はふるんですが、あまり積もることはないです。 
 It snows, but it doesn’t usually accumulate much. 

 年末に積もりに積もったホコリを全部そうじするつもりです。 
 I plan to clean up all the dust that piled up throughout the year at the end of the year. 

 「ちりも積もれば山となる」って言うし、毎日コツコツ頑張るよ！ 
 They say ""little by little, dust becomes a mountain,"" so I'll keep working hard every day! 

 長年積もりに積もった不満が、一気にあふれ出しちゃったんです。 
 The frustration that had built up over the years suddenly overflowed all at once.","intransitive verb, godan verb",積,Accumulate,"せき, つ","Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means accumulate and the verb version is to accumulate.

積もる is used to describe when something continuously collects or piles up over time, like snow on the ground or dust in a room. It can also be used in a more emotional way, like when feelings or thoughts quietly build up inside someone."
面積,Area,めんせき,29,"長方形と正方形の面積を求める方法は同じですか。 
 Are the methods for calculating the area of a rectangle and a square the same? 

 コウイチの家の庭の面積はどれくらいですか？ 
 How large of an area is Koichi's yard? 

 彼のおでこの面積は100平方メートルある。 
 The area of his forehead is 100 square meters.",noun,面|積,"Face, Surface|Accumulate","めん, おも, おもて|せき, つ","The surface that accumulates into one area is a particular area. This has to do with math. When you add all the surfaces together by accumulating them into one calculation, you get yourself the area!"
Area,めんせき,面積,29,"長方形と正方形の面積を求める方法は同じですか。 
 Are the methods for calculating the area of a rectangle and a square the same? 

 コウイチの家の庭の面積はどれくらいですか？ 
 How large of an area is Koichi's yard? 

 彼のおでこの面積は100平方メートルある。 
 The area of his forehead is 100 square meters.",noun,面|積,"Face, Surface|Accumulate","めん, おも, おもて|せき, つ","The surface that accumulates into one area is a particular area. This has to do with math. When you add all the surfaces together by accumulating them into one calculation, you get yourself the area!"
体積,Volume,たいせき,29,"この立方体の体積を求めなさい。 
 Find the volume of this cube. 

 水の体積は温度によって変わることがあります。 
 The volume of water can change depending on the temperature. 

 直方体の体積は、「たて×横×高さ」、立方体の体積は、「１辺×１辺×１辺」で計算できます。 
 The volume of a rectangular prism can be calculated as ""length × width × height,"" and the volume of a cube can be calculated as ""side × side × side."" 

 父さんにガレージの体積を測るように言われたんだけど、理由は知らないよ。何か変だよね。 
 My dad told me to measure the volume of our garage, but I don't know why. It seems kind of weird to me.",noun,体|積,Body|Accumulate,"たい, てい, からだ|せき, つ","See how much liquid this body can accumulate in order to calculate its volume. It can be the body of a cup, the body of a bucket, or the body of a body. Whatever it is, the body accumulation represents its volume. (You know, how much space it takes up. Wasn't math class fun?)"
Volume,たいせき,体積,29,"この立方体の体積を求めなさい。 
 Find the volume of this cube. 

 水の体積は温度によって変わることがあります。 
 The volume of water can change depending on the temperature. 

 直方体の体積は、「たて×横×高さ」、立方体の体積は、「１辺×１辺×１辺」で計算できます。 
 The volume of a rectangular prism can be calculated as ""length × width × height,"" and the volume of a cube can be calculated as ""side × side × side."" 

 父さんにガレージの体積を測るように言われたんだけど、理由は知らないよ。何か変だよね。 
 My dad told me to measure the volume of our garage, but I don't know why. It seems kind of weird to me.",noun,体|積,Body|Accumulate,"たい, てい, からだ|せき, つ","See how much liquid this body can accumulate in order to calculate its volume. It can be the body of a cup, the body of a bucket, or the body of a body. Whatever it is, the body accumulation represents its volume. (You know, how much space it takes up. Wasn't math class fun?)"
検索,"Lookup, Internet Search",けんさく,29,"後でネットで検索してみるよ。	 
 I'll look it up on the Internet later.	 

 私がよく利用する検索エンジンはグーグルです。 
 The search engine I use most often is Google. 

 この本には検索しやすいように索引がついている。 
 This book has an index for easy reference. 

 こんなにたくさんの料理本を持っているのに、結局クックパッドで検索しちゃうんですよね。 
 I have so many cookbooks, but I end up searching on Cookpad.","noun, verbal noun",検|索,Examine|Search,けん|さく,"You examine then search. These are the steps you take in order to perform a lookup of some kind. Or, as the case may be in modern times, do an internet search.

検索 originally referred to looking up information in books or using indexes and reference cards, like in a library. These days it's almost always used for digital and online searches."
"Lookup, Internet Search",けんさく,検索,29,"後でネットで検索してみるよ。	 
 I'll look it up on the Internet later.	 

 私がよく利用する検索エンジンはグーグルです。 
 The search engine I use most often is Google. 

 この本には検索しやすいように索引がついている。 
 This book has an index for easy reference. 

 こんなにたくさんの料理本を持っているのに、結局クックパッドで検索しちゃうんですよね。 
 I have so many cookbooks, but I end up searching on Cookpad.","noun, verbal noun",検|索,Examine|Search,けん|さく,"You examine then search. These are the steps you take in order to perform a lookup of some kind. Or, as the case may be in modern times, do an internet search.

検索 originally referred to looking up information in books or using indexes and reference cards, like in a library. These days it's almost always used for digital and online searches."
索引,Index,さくいん,29,"索引の見方が分かりません。 
 I don't know how to look at the index. 

 索引を引いた方が速いんじゃない？ 
 Wouldn't it be faster to look it up in the index? 

 索引にはすべての用語がアルファベット順に並んでいます。 
 All of the terms in the index are listed in alphabetical order. 

 英語索引も付けた方がいいんじゃないかな。 
 We should make an English index too.","noun, の adjective",索|引,Search|Pull,"さく|ひ, いん","You search then pull items from the index — you know, that list of keywords in alphabetical order at the end of a nonfiction book. Or in 五十音順 order, if you're fancy enough to be reading Japanese!"
Index,さくいん,索引,29,"索引の見方が分かりません。 
 I don't know how to look at the index. 

 索引を引いた方が速いんじゃない？ 
 Wouldn't it be faster to look it up in the index? 

 索引にはすべての用語がアルファベット順に並んでいます。 
 All of the terms in the index are listed in alphabetical order. 

 英語索引も付けた方がいいんじゃないかな。 
 We should make an English index too.","noun, の adjective",索|引,Search|Pull,"さく|ひ, いん","You search then pull items from the index — you know, that list of keywords in alphabetical order at the end of a nonfiction book. Or in 五十音順 order, if you're fancy enough to be reading Japanese!"
緊急,"Urgent, Emergency",きんきゅう,29,"父は緊急手術を受けることになりました。 
 My dad had to undergo emergency surgery. 

 緊急の用事ができたので、すぐに帰らなければならなくなってしまいました。 
 An urgent matter came up, so I have to leave immediately. 

 緊急連絡先として、家族以外の方の電話番号も書いていただく必要があります。 
 We also need you to provide a phone number for an emergency contact who is not a family member. 

 緊急地震速報を携帯で受信した三秒後に、地震が起きました。 
 Three seconds after receiving an emergency earthquake report on my cellphone, the earthquake occurred.","noun, な adjective, の adjective",緊|急,"Tense|Hurry, Sudden","きん|きゅう, いそ",Things are tense and we have to hurry! This is quite the urgent emergency!
"Urgent, Emergency",きんきゅう,緊急,29,"父は緊急手術を受けることになりました。 
 My dad had to undergo emergency surgery. 

 緊急の用事ができたので、すぐに帰らなければならなくなってしまいました。 
 An urgent matter came up, so I have to leave immediately. 

 緊急連絡先として、家族以外の方の電話番号も書いていただく必要があります。 
 We also need you to provide a phone number for an emergency contact who is not a family member. 

 緊急地震速報を携帯で受信した三秒後に、地震が起きました。 
 Three seconds after receiving an emergency earthquake report on my cellphone, the earthquake occurred.","noun, な adjective, の adjective",緊|急,"Tense|Hurry, Sudden","きん|きゅう, いそ",Things are tense and we have to hurry! This is quite the urgent emergency!
締切,"Deadline, Due Date",しめきり,29,"締切はいつですか？ 
 When is the deadline? 

 申込の締切日は三日後です。 
 The application deadline is in three days. 

 このままじゃ締切に間に合わないかもしれない。 
 At this rate, I might not make the deadline. 

 うまく締切を明日まで延ばせたの？ 
 Did you have any luck with putting the deadline off till tomorrow?",noun,締|切,Tighten|Cut,"てい, し|せつ, き","Things 締める (tighten), and eventually 切る (cut off), meaning you’ve reached the deadline! You can associate this with the feeling of your chest tightening once you approach the due date for something.

Note that you'll often encounter this written with okurigana like 締め切り as well. You might even see it with a simplified version of the 締 kanji written 〆切, which is relatively common in handwriting!"
"Deadline, Due Date",しめきり,締切,29,"締切はいつですか？ 
 When is the deadline? 

 申込の締切日は三日後です。 
 The application deadline is in three days. 

 このままじゃ締切に間に合わないかもしれない。 
 At this rate, I might not make the deadline. 

 うまく締切を明日まで延ばせたの？ 
 Did you have any luck with putting the deadline off till tomorrow?",noun,締|切,Tighten|Cut,"てい, し|せつ, き","Things 締める (tighten), and eventually 切る (cut off), meaning you’ve reached the deadline! You can associate this with the feeling of your chest tightening once you approach the due date for something.

Note that you'll often encounter this written with okurigana like 締め切り as well. You might even see it with a simplified version of the 締 kanji written 〆切, which is relatively common in handwriting!"
締まる,"To Tighten, To Become Tight, To Be Toned",しまる,29,"このシートベルトは自動的に締まってくれます。 
 This seat belt tightens on its own. 

 大西さんの体はよく締まっていますね〜。 
 Mr Onishi's body is well toned isn't it! 

 初めての管理職ということで、身の引き締まる思いをしています。 
 This is my first managerial position and I’m very tense.","intransitive verb, godan verb",締,Tighten,"てい, し","Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means tighten, so the verb vocab version is to tighten."
"To Tighten, To Become Tight, To Be Toned",しまる,締まる,29,"このシートベルトは自動的に締まってくれます。 
 This seat belt tightens on its own. 

 大西さんの体はよく締まっていますね〜。 
 Mr Onishi's body is well toned isn't it! 

 初めての管理職ということで、身の引き締まる思いをしています。 
 This is my first managerial position and I’m very tense.","intransitive verb, godan verb",締,Tighten,"てい, し","Because the hiragana ends with an う sound, you know this word is a verb. The kanji itself means tighten, so the verb vocab version is to tighten."
大臣,"Minister, Cabinet Minister, State Minister, Secretary Of State",だいじん,29,"大臣の発言がニュースで大きく取り上げられました。 
 The minister's statement was widely covered in the news. 

 財務大臣が来年度の予算案を発表しました。 
 The Finance Minister announced next year's budget plan. 

 お言葉ですが、大臣は、国民の声をもっとしっかりと聞くべきだと思います。 
 With all due respect, Minister, I believe you should listen more carefully to the voices of the people. 

 彼女は大臣たちに会議の前に資料を配るのを忘れてしまったために、首になっちゃったんだよ。 
 She was fired because she forgot to hand out the documents to the cabinet members before the meeting.",noun,大|臣,"Big, Large|Servant, Retainer","たい, だい, おお, ひろ|しん, じん","A big servant is a really important servant — you know, one who serves a king or some other political leader. What do we call a big, highfalutin servant who prances around doing jobs for the leader? A minister.

大臣 refers to high-ranking government officials who oversee ministries or departments, and it can be translated in different ways depending on the country and its political system, such as cabinet minister, state minister, or secretary of state."
"Minister, Cabinet Minister, State Minister, Secretary Of State",だいじん,大臣,29,"大臣の発言がニュースで大きく取り上げられました。 
 The minister's statement was widely covered in the news. 

 財務大臣が来年度の予算案を発表しました。 
 The Finance Minister announced next year's budget plan. 

 お言葉ですが、大臣は、国民の声をもっとしっかりと聞くべきだと思います。 
 With all due respect, Minister, I believe you should listen more carefully to the voices of the people. 

 彼女は大臣たちに会議の前に資料を配るのを忘れてしまったために、首になっちゃったんだよ。 
 She was fired because she forgot to hand out the documents to the cabinet members before the meeting.",noun,大|臣,"Big, Large|Servant, Retainer","たい, だい, おお, ひろ|しん, じん","A big servant is a really important servant — you know, one who serves a king or some other political leader. What do we call a big, highfalutin servant who prances around doing jobs for the leader? A minister.

大臣 refers to high-ranking government officials who oversee ministries or departments, and it can be translated in different ways depending on the country and its political system, such as cabinet minister, state minister, or secretary of state."
航法,Navigation,こうほう,29,"どこで空中航法を学んだんですか。 
 Where did you learn aerial navigation? 

 私のおばあちゃんは、飛行船の航法計算ができるんです。 
 My grandmother can do navigational calculations for airships. 

 この機体の後ろのところに航法士が乗ってナビしてたんだって。 
 I heard that the navigator used to sit in the back of this aircraft to navigate. 

 天則航法を学んでおいたおかげで迷わずに港に着くことができました。 
  Thanks to my knowledge of celestial navigation, I was able to arrive at the port without getting lost.",noun,航|法,"Navigation|Method, Law","こう, わたる|ほう","The navigation methods are the methods used for navigation.

航法 is a technical term for navigation, specifically referring to the techniques and methods used to guide a ship, aircraft, or spacecraft from one place to another."
Navigation,こうほう,航法,29,"どこで空中航法を学んだんですか。 
 Where did you learn aerial navigation? 

 私のおばあちゃんは、飛行船の航法計算ができるんです。 
 My grandmother can do navigational calculations for airships. 

 この機体の後ろのところに航法士が乗ってナビしてたんだって。 
 I heard that the navigator used to sit in the back of this aircraft to navigate. 

 天則航法を学んでおいたおかげで迷わずに港に着くことができました。 
  Thanks to my knowledge of celestial navigation, I was able to arrive at the port without getting lost.",noun,航|法,"Navigation|Method, Law","こう, わたる|ほう","The navigation methods are the methods used for navigation.

航法 is a technical term for navigation, specifically referring to the techniques and methods used to guide a ship, aircraft, or spacecraft from one place to another."
航空,Aviation,こうくう,29,"私は日本航空大学の航空工学科で、航空工学について学びました。 
 I studied aerospace engineering in the Department of Aerospace Engineering at Japan Aviation University. 

 アメリカから羽田空港の航空路線が増えてより便利になりました。 
 The number of flight routes from America to Haneda Airport increased and has made travel more convenient. 

 私はいつもこのアプリを使って格安航空券をさがしています。 
 I always use this app to search for cheap airline tickets. 

 あの航空会社は四月に新路線を増やす予定だ。 
 That airline company is adding a new route in April.","noun, の adjective",航|空,"Navigation|Sky, Empty","こう, わたる|くう, そら, あ, から, す","Navigation in the sky is aviation. Vroom vroom, sky flying!

On its own 航空 refers to aviation, but you'll usually see it in compound words like 航空機 (aircraft) and 航空会社 (airline company)."
